app_id,launch_date
com.iw.arihant,15 March 2019
com.iw.mint.app,07 June 2019
com.iz.zmt,23 December 2020
com.jainam.smartdelta,23 June 2020
com.jar.app,22 April 2021
com.jetprivilege.smartshop,01 August 2018
com.jify.mobile,10 December 2021
com.jio.myjio,09 March 2018
com.jiopay.business,25 August 2022
com.jjtax.app,18 May 2020
com.jsotg.riskmatrixtool,19 October 2019
com.karvy,24 November 2013
com.karvydistributor,03 April 2019
com.kgil.swipeloan,10 December 2024
com.kkb.pay,01 July 2017
com.kleio.kpay,02 March 2023
com.konasl.nagad,28 April 2020
com.kosh,22 August 2019
com.kotak811mobilebankingapp.instantsavingsupiscanandpayrecharge,29 February 2024
com.kreditbee.android,10 May 2018
com.kreditzy.android,29 October 2019
com.kreon.stucred,18 October 2018
com.ktb.tcomm,01 October 2014
com.kuhoo.kuhoo_student_app,10 January 2024
com.lcode.dlbupi,31 July 2018
com.learnapp,26 October 2019
com.lithos.pos,21 January 2019
com.lv,12 May 2016
com.lxme,24 August 2018
com.mantra.mfs110.rdservice,13 March 2023
com.mantra.mis100v2.rdservice,11 December 2018
com.mantra.rdservice,19 July 2017
com.marketwatch,13 August 2013
com.maxbupa.instainsure,26 October 2016
com.mf.app,15 February 2022
com.mfcentral.app,28 December 2021
com.mfwala.client,16 June 2015
com.mgs.induspsp,07 December 2016
com.midea.app.eureka,01 January 2019
com.mindsarray.pay1,04 June 2014
com.mobikwik.business,28 November 2016
com.mobikwik_new,25 August 2012
com.mobileappz.redvision,12 February 2016
com.mobileinsurance.smartdialer,01 May 2019
com.mobilepe.android,30 June 2020
com.moneytap.bnpl.app,26 February 2021
com.moontechnolabs.miandroid,13 August 2015
com.motresearch.mylo,01 October 2018
com.msf.acml,30 August 2022
com.msf.bfsltrade,28 May 2021
com.msf.blinktrade,11 April 2023
com.msf.emt.mobile,15 September 2015
com.msf.kbank.mobile,30 April 2013
com.msf.sbicap.securities,13 September 2021
com.mswipetech.wisepad,21 August 2014
com.muthootfinance.imuthoot,31 October 2016
com.muthootfincorpone.superapp,11 April 2023
com.mventus.selfcare.activity,14 March 2013
com.mwallet.vfq,17 May 2022
com.myairtelapp,07 July 2016
com.mycash.moneytap.app,12 July 2016
com.mygarage.android,01 December 2018
